ID,TITLE,CREATED_AT,OPEN_AT,LOCATION,SOURCE,CATEGORY,FEAT,FILTER_REASON
1,가족뮤지컬 <에그박사 - 연구소에서 생긴 일> - 인천 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
2,가족뮤지컬 레인보우 버블젬<흩어진 버블젬을 찾아라!> - 대전 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
3,가족뮤지컬 레인보우 버블젬<흩어진 버블젬을 찾아라!> - 인천 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
4,가족뮤지컬 마법천자문 <한자 마법 대모험> - 부산 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
5,[단독판매] 가족뮤지컬 <엄마까투리는 슈퍼맘> - 제주 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
7,2024년 가족뮤지컬 인어공주 - 경주 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
10,빵빵 이야기 속으로,2024-03-17 23:59:30,,인천,ticketlink,Musical,,
11,가족뮤지컬 <고고다이노 - 고고킹의 귀환> - 과천 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
12,뮤지컬 일 테노레 (IL TENORE) 2차 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,no title!
13,가족뮤지컬 <로보카폴리 - 잡아라! 황금트로피!> - 전주 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
15,가족뮤지컬 레인보우 버블젬<흩어진 버블젬을 찾아라!> - 울산 티켓오픈 안내,2024-03-17 23:59:30,,,ticketlink,Musical,,"musical category invalid(family,Kids)"
